date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:21:12	205/205	---M-Z	200	added ('OK')	text/plain	date:Wed,%2011%20Sep%202019%2018:51:12%20GMT	https://merchandiser.wp-theme.design/robots.txt		(from )
00:21:15	237790/237790	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Sep%202019%2018:51:12%20GMT	https://merchandiser.wp-theme.design/	C:/My%20Web%20Sites/merchy/merchandiser.wp-theme.design/index.html	(from )
00:21:16	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2011%20Sep%202019%2018:51:16%20GMT	https://merchandiser.wp-theme.design/xmlrpc.php	C:/My%20Web%20Sites/merchy/merchandiser.wp-theme.design/xmlrpc.php	(from https://merchandiser.wp-theme.design/)
00:21:18	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2011%20Sep%202019%2018:51:18%20GMT	https://merchandiser-szcel9eb49h.stackpathdns.com/wp-content/uploads/2015/05/Moderndesignofspaciousroom.jpg?id=4168	C:/My%20Web%20Sites/merchy/merchandiser-szcel9eb49h.stackpathdns.com/wp-content/uploads/2015/05/Moderndesignofspaciousroom.122e9.delayed	(from https://merchandiser.wp-theme.design/)
00:21:20	39155/39155	---M-Z	200	added ('OK')	application/rss+xml	etag:%22e7eef1100a4d2156aba8eec24486db6f-gzip%22	https://merchandiser.wp-theme.design/feed/	C:/My%20Web%20Sites/merchy/merchandiser.wp-theme.design/feed/index.html	(from https://merchandiser.wp-theme.design/)
00:21:20	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2011%20Sep%202019%2018:51:20%20GMT	https://merchandiser-szcel9eb49h.stackpathdns.com/wp-content/plugins/bwp-minify/cache/minify-b1-wp-block-library-fd94062a9fc7696a9245fcb87b8bdae2.css?ver=1568217794	C:/My%20Web%20Sites/merchy/merchandiser-szcel9eb49h.stackpathdns.com/wp-content/plugins/bwp-minify/cache/minify-b1-wp-block-library-fd94062a9fc7696a9245fcb87b8bdae25e59.css	(from https://merchandiser.wp-theme.design/)
00:21:21	246317/246317	---M--	200	added ('OK')	image/jpeg	etag:%225af2d43f-3c22d%22	https://merchandiser.wp-theme.design/wp-content/uploads/2015/05/Moderndesignofspaciousroom.jpg?id=4168	C:/My%20Web%20Sites/merchy/merchandiser.wp-theme.design/wp-content/uploads/2015/05/Moderndesignofspaciousroom22e9.jpg	(from https://merchandiser.wp-theme.design/)
00:21:21	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2011%20Sep%202019%2018:51:21%20GMT	https://merchandiser-szcel9eb49h.stackpathdns.com/wp-content/plugins/bwp-minify/cache/minify-b1-jquery-core-b7f0583af2b164d7940cc5567f7bf22c.js?ver=1568217794	C:/My%20Web%20Sites/merchy/merchandiser-szcel9eb49h.stackpathdns.com/wp-content/plugins/bwp-minify/cache/minify-b1-jquery-core-b7f0583af2b164d7940cc5567f7bf22c5e59.js	(from https://merchandiser.wp-theme.design/)
00:21:21	7222/7222	---M-Z	200	added ('OK')	application/rss+xml	etag:%22ec0d7dab6aee4a740cae5b1ddf16221d-gzip%22	https://merchandiser.wp-theme.design/comments/feed/	C:/My%20Web%20Sites/merchy/merchandiser.wp-theme.design/comments/feed/index.html	(from https://merchandiser.wp-theme.design/)
00:21:24	121547/121547	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2011%20Sep%202019%2008:26:05%20GMT	https://merchandiser.wp-theme.design/wp-content/plugins/bwp-minify/cache/minify-b1-jquery-core-b7f0583af2b164d7940cc5567f7bf22c.js?ver=1568217794	C:/My%20Web%20Sites/merchy/merchandiser.wp-theme.design/wp-content/plugins/bwp-minify/cache/minify-b1-jquery-core-b7f0583af2b164d7940cc5567f7bf22c5e59.js	(from https://merchandiser.wp-theme.design/)
00:21:24	1128567/1128567	---M-Z	200	added ('OK')	text/css	date:Wed,%2011%20Sep%202019%2008:26:05%20GMT	https://merchandiser.wp-theme.design/wp-content/plugins/bwp-minify/cache/minify-b1-wp-block-library-fd94062a9fc7696a9245fcb87b8bdae2.css?ver=1568217794	C:/My%20Web%20Sites/merchy/merchandiser.wp-theme.design/wp-content/plugins/bwp-minify/cache/minify-b1-wp-block-library-fd94062a9fc7696a9245fcb87b8bdae25e59.css	(from https://merchandiser.wp-theme.design/)
00:21:24	89341/89341	---M-Z	200	added ('OK')	text/javascript	etag:W/%2215cfd-VJOXwfh7wi1cN1jv252jy8Zu0b4%22	http://platform-api.sharethis.com/js/sharethis.js	C:/My%20Web%20Sites/merchy/platform-api.sharethis.com/js/sharethis.js	(from https://merchandiser.wp-theme.design/)
00:21:25	882/882	---M-Z	200	added ('OK')	text/xml	date:Wed,%2011%20Sep%202019%2018:51:25%20GMT	https://merchandiser.wp-theme.design/xmlrpc.php?rsd	C:/My%20Web%20Sites/merchy/merchandiser.wp-theme.design/xmlrpc0db0.php	(from https://merchandiser.wp-theme.design/)
00:21:26	534308/534308	---M-Z	200	added ('OK')	application/json	date:Wed,%2011%20Sep%202019%2018:51:26%20GMT	https://merchandiser.wp-theme.design/wp-json/	C:/My%20Web%20Sites/merchy/merchandiser.wp-theme.design/wp-json/index.html	(from https://merchandiser.wp-theme.design/)
00:21:26	2243/2243	---M-Z	200	added ('OK')	application/json	date:Wed,%2011%20Sep%202019%2018:51:26%20GMT	https://merchandiser.wp-theme.design/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmerchandiser.wp-theme.design%2F	C:/My%20Web%20Sites/merchy/merchandiser.wp-theme.design/wp-json/oembed/1.0/embedfa2c.json	(from https://merchandiser.wp-theme.design/)
00:21:27	2342/2342	---M-Z	200	added ('OK')	text/xml	date:Wed,%2011%20Sep%202019%2018:51:28%20GMT	https://merchandiser.wp-theme.design/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmerchandiser.wp-theme.design%2F&format=xml	C:/My%20Web%20Sites/merchy/merchandiser.wp-theme.design/wp-json/oembed/1.0/embed181a	(from https://merchandiser.wp-theme.design/)
00:21:28	1/1	---M-Z	400	error ('Bad%20Request')	text/html	date:Wed,%2011%20Sep%202019%2018:51:29%20GMT	https://merchandiser.wp-theme.design/wp-admin/admin-ajax.php	C:/My%20Web%20Sites/merchy/merchandiser.wp-theme.design/wp-admin/admin-ajax.php	(from https://merchandiser.wp-theme.design/)
00:21:30	251975/251975	---M-Z	200	added ('OK')	application/x-javascript	etag:%2299a890b467b9fcfd4174269aa16a3497%22	http://connect.facebook.net/en_US/sdk/xfbml.customerchat.js	C:/My%20Web%20Sites/merchy/connect.facebook.net/en_US/sdk/xfbml.customerchat.js	(from https://merchandiser.wp-theme.design/)
00:21:30	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2011%20Sep%202019%2018:51:31%20GMT	https://merchandiser-szcel9eb49h.stackpathdns.com/wp-content/uploads/2018/07/favicon.png	C:/My%20Web%20Sites/merchy/merchandiser-szcel9eb49h.stackpathdns.com/wp-content/uploads/2018/07/favicon.d.delayed	(from https://merchandiser.wp-theme.design/)
00:21:31	1710/1710	---M--	200	added ('OK')	image/png	etag:%225b44ad2a-6ae%22	https://merchandiser.wp-theme.design/wp-content/uploads/2018/07/favicon.png	C:/My%20Web%20Sites/merchy/merchandiser.wp-theme.design/wp-content/uploads/2018/07/favicon.png	(from https://merchandiser.wp-theme.design/)
00:21:31	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2011%20Sep%202019%2018:51:32%20GMT	https://merchandiser-szcel9eb49h.stackpathdns.com/wp-content/uploads/2017/06/merchandiser-thumb.png	C:/My%20Web%20Sites/merchy/merchandiser-szcel9eb49h.stackpathdns.com/wp-content/uploads/2017/06/merchandiser-thumb.png	(from https://merchandiser.wp-theme.design/)
00:21:32	1711/1711	---M--	200	added ('OK')	image/png	etag:%225af2d386-6af%22	https://merchandiser.wp-theme.design/wp-content/uploads/2017/06/merchandiser-thumb.png	C:/My%20Web%20Sites/merchy/merchandiser.wp-theme.design/wp-content/uploads/2017/06/merchandiser-thumb.png	(from https://merchandiser.wp-theme.design/)
